State,State_code,Year,State_Minimum_Wage,State_Minimum_Wage_2020_Dollars,Federal_Minimum_Wage,Federal_Minimum_Wage_2020_Dollars,Effective_Minimum_Wage,Effective_Minimum_Wage_2020_Dollars
Alabama,AL,1968,0,0,1.15,8.55,1.15,8.55
Alaska,AK,1968,2.1,15.61,1.15,8.55,2.1,15.61
Arizona,AZ,1968,0.468,3.48,1.15,8.55,1.15,8.55
Arkansas,AR,1968,0.15625,1.16,1.15,8.55,1.15,8.55
California,CA,1968,1.65,12.26,1.15,8.55,1.65,12.26
Colorado,CO,1968,1,7.43,1.15,8.55,1.15,8.55
Connecticut,CT,1968,1.4,10.41,1.15,8.55,1.4,10.41
Delaware,DE,1968,1.25,9.29,1.15,8.55,1.25,9.29
District of Columbia,DC,1968,1.25,9.29,1.15,8.55,1.25,9.29
Florida,FL,1968,0,0,1.15,8.55,1.15,8.55
Georgia,GA,1968,0,0,1.15,8.55,1.15,8.55
Guam,None,1968,1.25,9.29,1.15,8.55,1.25,9.29
Hawaii,HI,1968,1.25,9.29,1.15,8.55,1.25,9.29
Idaho,ID,1968,1.15,8.55,1.15,8.55,1.15,8.55
Illinois,IL,1968,0,0,1.15,8.55,1.15,8.55
Indiana,IN,1968,1.15,8.55,1.15,8.55,1.15,8.55
Iowa,IA,1968,0,0,1.15,8.55,1.15,8.55
Kansas,KS,1968,0,0,1.15,8.55,1.15,8.55
Kentucky,KY,1968,0.65,4.83,1.15,8.55,1.15,8.55
Louisiana,LA,1968,0,0,1.15,8.55,1.15,8.55
Maine,ME,1968,1.4,10.41,1.15,8.55,1.4,10.41
Maryland,MD,1968,1,7.43,1.15,8.55,1.15,8.55
Massachusetts,MA,1968,1.6,11.89,1.15,8.55,1.6,11.89
Michigan,MI,1968,1.25,9.29,1.15,8.55,1.25,9.29
Minnesota,MN,1968,0.7,5.2,1.15,8.55,1.15,8.55
Mississippi,MS,1968,0,0,1.15,8.55,1.15,8.55
Missouri,MO,1968,0,0,1.15,8.55,1.15,8.55
Montana,MT,1968,0,0,1.15,8.55,1.15,8.55
Nebraska,NE,1968,1,7.43,1.15,8.55,1.15,8.55
Nevada,NV,1968,1.25,9.29,1.15,8.55,1.25,9.29
New Hampshire,NH,1968,1.4,10.41,1.15,8.55,1.4,10.41
New Jersey,NJ,1968,1.4,10.41,1.15,8.55,1.4,10.41
New Mexico,NM,1968,1.15,8.55,1.15,8.55,1.15,8.55
New York,NY,1968,1.6,11.89,1.15,8.55,1.6,11.89
North Carolina,NC,1968,1,7.43,1.15,8.55,1.15,8.55
North Dakota,ND,1968,1,7.43,1.15,8.55,1.15,8.55
Ohio,OH,1968,0.75,5.57,1.15,8.55,1.15,8.55
Oklahoma,OK,1968,1,7.43,1.15,8.55,1.15,8.55
Oregon,OR,1968,1.25,9.29,1.15,8.55,1.25,9.29
Pennsylvania,PA,1968,1.15,8.55,1.15,8.55,1.15,8.55
Puerto Rico,None,1968,0.43,3.2,1.15,8.55,1.15,8.55
Rhode Island,RI,1968,1.4,10.41,1.15,8.55,1.4,10.41
South Carolina,SC,1968,0,0,1.15,8.55,1.15,8.55
South Dakota,SD,1968,0.425,3.16,1.15,8.55,1.15,8.55
Tennessee,TN,1968,0,0,1.15,8.55,1.15,8.55
Texas,TX,1968,0,0,1.15,8.55,1.15,8.55
U.S. Virgin Islands,None,1968,0,0,1.15,8.55,1.15,8.55
Utah,UT,1968,1,7.43,1.15,8.55,1.15,8.55
Vermont,VT,1968,1.4,10.41,1.15,8.55,1.4,10.41
Virginia,VA,1968,0,0,1.15,8.55,1.15,8.55
Washington,WA,1968,1.6,11.89,1.15,8.55,1.6,11.89
West Virginia,WV,1968,1,7.43,1.15,8.55,1.15,8.55
Wisconsin,WI,1968,1.25,9.29,1.15,8.55,1.25,9.29
Wyoming,WY,1968,1.2,8.92,1.15,8.55,1.2,8.92
Alabama,AL,1969,0,0,1.15,8.11,1.15,8.11
Alaska,AK,1969,2.1,14.8,1.15,8.11,2.1,14.8
Arizona,AZ,1969,0.468,3.3,1.15,8.11,1.15,8.11
Arkansas,AR,1969,0.15625,1.1,1.15,8.11,1.15,8.11
California,CA,1969,1.65,11.63,1.15,8.11,1.65,11.63
Colorado,CO,1969,1,7.05,1.15,8.11,1.15,8.11
Connecticut,CT,1969,1.4,9.87,1.15,8.11,1.4,9.87
Delaware,DE,1969,1.25,8.81,1.15,8.11,1.25,8.81
District of Columbia,DC,1969,1.25,8.81,1.15,8.11,1.25,8.81
Florida,FL,1969,0,0,1.15,8.11,1.15,8.11
Georgia,GA,1969,0,0,1.15,8.11,1.15,8.11
Guam,None,1969,1.25,8.81,1.15,8.11,1.25,8.81
Hawaii,HI,1969,1.25,8.81,1.15,8.11,1.25,8.81
Idaho,ID,1969,1.15,8.11,1.15,8.11,1.15,8.11
Illinois,IL,1969,0,0,1.15,8.11,1.15,8.11
Indiana,IN,1969,1.15,8.11,1.15,8.11,1.15,8.11
Iowa,IA,1969,0,0,1.15,8.11,1.15,8.11
Kansas,KS,1969,0,0,1.15,8.11,1.15,8.11
Kentucky,KY,1969,0.65,4.58,1.15,8.11,1.15,8.11
Louisiana,LA,1969,0,0,1.15,8.11,1.15,8.11
Maine,ME,1969,1.4,9.87,1.15,8.11,1.4,9.87
Maryland,MD,1969,1,7.05,1.15,8.11,1.15,8.11
Massachusetts,MA,1969,1.6,11.28,1.15,8.11,1.6,11.28
Michigan,MI,1969,1.25,8.81,1.15,8.11,1.25,8.81
Minnesota,MN,1969,0.7,4.93,1.15,8.11,1.15,8.11
Mississippi,MS,1969,0,0,1.15,8.11,1.15,8.11
Missouri,MO,1969,0,0,1.15,8.11,1.15,8.11
Montana,MT,1969,0,0,1.15,8.11,1.15,8.11
Nebraska,NE,1969,1,7.05,1.15,8.11,1.15,8.11
Nevada,NV,1969,1.25,8.81,1.15,8.11,1.25,8.81
New Hampshire,NH,1969,1.4,9.87,1.15,8.11,1.4,9.87
New Jersey,NJ,1969,1.4,9.87,1.15,8.11,1.4,9.87
New Mexico,NM,1969,1.15,8.11,1.15,8.11,1.15,8.11
New York,NY,1969,1.6,11.28,1.15,8.11,1.6,11.28
North Carolina,NC,1969,1,7.05,1.15,8.11,1.15,8.11
North Dakota,ND,1969,1,7.05,1.15,8.11,1.15,8.11
Ohio,OH,1969,0.75,5.29,1.15,8.11,1.15,8.11
Oklahoma,OK,1969,1,7.05,1.15,8.11,1.15,8.11
Oregon,OR,1969,1.25,8.81,1.15,8.11,1.25,8.81
Pennsylvania,PA,1969,1.15,8.11,1.15,8.11,1.15,8.11
Puerto Rico,None,1969,0.43,3.03,1.15,8.11,1.15,8.11
Rhode Island,RI,1969,1.4,9.87,1.15,8.11,1.4,9.87
South Carolina,SC,1969,0,0,1.15,8.11,1.15,8.11
South Dakota,SD,1969,0.425,3,1.15,8.11,1.15,8.11
Tennessee,TN,1969,0,0,1.15,8.11,1.15,8.11
Texas,TX,1969,0,0,1.15,8.11,1.15,8.11
U.S. Virgin Islands,None,1969,0,0,1.15,8.11,1.15,8.11
Utah,UT,1969,1,7.05,1.15,8.11,1.15,8.11
Vermont,VT,1969,1.4,9.87,1.15,8.11,1.4,9.87
Virginia,VA,1969,0,0,1.15,8.11,1.15,8.11
Washington,WA,1969,1.6,11.28,1.15,8.11,1.6,11.28
West Virginia,WV,1969,1,7.05,1.15,8.11,1.15,8.11
Wisconsin,WI,1969,1.25,8.81,1.15,8.11,1.25,8.81
Wyoming,WY,1969,1.2,8.46,1.15,8.11,1.2,8.46
Alabama,AL,1970,0,0,1.3,8.67,1.3,8.67
Alaska,AK,1970,2.1,14,1.3,8.67,2.1,14
Arizona,AZ,1970,0.468,3.12,1.3,8.67,1.3,8.67
Arkansas,AR,1970,1.1,7.33,1.3,8.67,1.3,8.67
California,CA,1970,1.65,11,1.3,8.67,1.65,11
Colorado,CO,1970,1,6.67,1.3,8.67,1.3,8.67
Connecticut,CT,1970,1.6,10.67,1.3,8.67,1.6,10.67
Delaware,DE,1970,1.25,8.33,1.3,8.67,1.3,8.67
District of Columbia,DC,1970,1.6,10.67,1.3,8.67,1.6,10.67
Florida,FL,1970,0,0,1.3,8.67,1.3,8.67
Georgia,GA,1970,0,0,1.3,8.67,1.3,8.67
Guam,None,1970,1.6,10.67,1.3,8.67,1.6,10.67
Hawaii,HI,1970,1.6,10.67,1.3,8.67,1.6,10.67
Idaho,ID,1970,1.25,8.33,1.3,8.67,1.3,8.67
Illinois,IL,1970,0,0,1.3,8.67,1.3,8.67
Indiana,IN,1970,1.25,8.33,1.3,8.67,1.3,8.67
Iowa,IA,1970,0,0,1.3,8.67,1.3,8.67
Kansas,KS,1970,0,0,1.3,8.67,1.3,8.67
Kentucky,KY,1970,0.65,4.33,1.3,8.67,1.3,8.67
Louisiana,LA,1970,0,0,1.3,8.67,1.3,8.67
Maine,ME,1970,1.6,10.67,1.3,8.67,1.6,10.67
Maryland,MD,1970,1.3,8.67,1.3,8.67,1.3,8.67
Massachusetts,MA,1970,1.6,10.67,1.3,8.67,1.6,10.67
Michigan,MI,1970,1.25,8.33,1.3,8.67,1.3,8.67
Minnesota,MN,1970,0.7,4.67,1.3,8.67,1.3,8.67
Mississippi,MS,1970,0,0,1.3,8.67,1.3,8.67
Missouri,MO,1970,0,0,1.3,8.67,1.3,8.67
Montana,MT,1970,0,0,1.3,8.67,1.3,8.67
Nebraska,NE,1970,1,6.67,1.3,8.67,1.3,8.67
Nevada,NV,1970,1.3,8.67,1.3,8.67,1.3,8.67
New Hampshire,NH,1970,1.45,9.67,1.3,8.67,1.45,9.67
New Jersey,NJ,1970,1.5,10,1.3,8.67,1.5,10
New Mexico,NM,1970,1.3,8.67,1.3,8.67,1.3,8.67
New York,NY,1970,1.6,10.67,1.3,8.67,1.6,10.67
North Carolina,NC,1970,1.25,8.33,1.3,8.67,1.3,8.67
North Dakota,ND,1970,1,6.67,1.3,8.67,1.3,8.67
Ohio,OH,1970,0.75,5,1.3,8.67,1.3,8.67
Oklahoma,OK,1970,1,6.67,1.3,8.67,1.3,8.67
Oregon,OR,1970,1.25,8.33,1.3,8.67,1.3,8.67
Pennsylvania,PA,1970,1.3,8.67,1.3,8.67,1.3,8.67
Puerto Rico,None,1970,0.43,2.87,1.3,8.67,1.3,8.67
Rhode Island,RI,1970,1.6,10.67,1.3,8.67,1.6,10.67
South Carolina,SC,1970,0,0,1.3,8.67,1.3,8.67
South Dakota,SD,1970,1,6.67,1.3,8.67,1.3,8.67
Tennessee,TN,1970,0,0,1.3,8.67,1.3,8.67
Texas,TX,1970,0,0,1.3,8.67,1.3,8.67
U.S. Virgin Islands,None,1970,0,0,1.3,8.67,1.3,8.67
Utah,UT,1970,1,6.67,1.3,8.67,1.3,8.67
Vermont,VT,1970,1.6,10.67,1.3,8.67,1.6,10.67
Virginia,VA,1970,0,0,1.3,8.67,1.3,8.67
Washington,WA,1970,1.6,10.67,1.3,8.67,1.6,10.67
West Virginia,WV,1970,1,6.67,1.3,8.67,1.3,8.67
Wisconsin,WI,1970,1.3,8.67,1.3,8.67,1.3,8.67
Wyoming,WY,1970,1.3,8.67,1.3,8.67,1.3,8.67
Alabama,AL,1971,0,0,1.3,8.3,1.3,8.3
Alaska,AK,1971,2.1,13.41,1.3,8.3,2.1,13.41
Arizona,AZ,1971,0.468,2.99,1.3,8.3,1.3,8.3
Arkansas,AR,1971,1.1,7.03,1.3,8.3,1.3,8.3
California,CA,1971,1.65,10.54,1.3,8.3,1.65,10.54
Colorado,CO,1971,1,6.39,1.3,8.3,1.3,8.3
Connecticut,CT,1971,1.6,10.22,1.3,8.3,1.6,10.22
Delaware,DE,1971,1.25,7.98,1.3,8.3,1.3,8.3
District of Columbia,DC,1971,1.6,10.22,1.3,8.3,1.6,10.22
Florida,FL,1971,0,0,1.3,8.3,1.3,8.3
Georgia,GA,1971,0,0,1.3,8.3,1.3,8.3
Guam,None,1971,1.6,10.22,1.3,8.3,1.6,10.22
Hawaii,HI,1971,1.6,10.22,1.3,8.3,1.6,10.22
Idaho,ID,1971,1.25,7.98,1.3,8.3,1.3,8.3
Illinois,IL,1971,0,0,1.3,8.3,1.3,8.3
Indiana,IN,1971,1.25,7.98,1.3,8.3,1.3,8.3
Iowa,IA,1971,0,0,1.3,8.3,1.3,8.3
Kansas,KS,1971,0,0,1.3,8.3,1.3,8.3
Kentucky,KY,1971,0.65,4.15,1.3,8.3,1.3,8.3
Louisiana,LA,1971,0,0,1.3,8.3,1.3,8.3
Maine,ME,1971,1.6,10.22,1.3,8.3,1.6,10.22
Maryland,MD,1971,1.3,8.3,1.3,8.3,1.3,8.3
Massachusetts,MA,1971,1.6,10.22,1.3,8.3,1.6,10.22
Michigan,MI,1971,1.25,7.98,1.3,8.3,1.3,8.3
Minnesota,MN,1971,0.7,4.47,1.3,8.3,1.3,8.3
Mississippi,MS,1971,0,0,1.3,8.3,1.3,8.3
Missouri,MO,1971,0,0,1.3,8.3,1.3,8.3
Montana,MT,1971,0,0,1.3,8.3,1.3,8.3
Nebraska,NE,1971,1,6.39,1.3,8.3,1.3,8.3
Nevada,NV,1971,1.3,8.3,1.3,8.3,1.3,8.3
New Hampshire,NH,1971,1.45,9.26,1.3,8.3,1.45,9.26
New Jersey,NJ,1971,1.5,9.58,1.3,8.3,1.5,9.58
New Mexico,NM,1971,1.3,8.3,1.3,8.3,1.3,8.3
New York,NY,1971,1.6,10.22,1.3,8.3,1.6,10.22
North Carolina,NC,1971,1.25,7.98,1.3,8.3,1.3,8.3
North Dakota,ND,1971,1,6.39,1.3,8.3,1.3,8.3
Ohio,OH,1971,0.75,4.79,1.3,8.3,1.3,8.3
Oklahoma,OK,1971,1,6.39,1.3,8.3,1.3,8.3
Oregon,OR,1971,1.25,7.98,1.3,8.3,1.3,8.3
Pennsylvania,PA,1971,1.3,8.3,1.3,8.3,1.3,8.3
Puerto Rico,None,1971,0.43,2.75,1.3,8.3,1.3,8.3
Rhode Island,RI,1971,1.6,10.22,1.3,8.3,1.6,10.22
South Carolina,SC,1971,0,0,1.3,8.3,1.3,8.3
South Dakota,SD,1971,1,6.39,1.3,8.3,1.3,8.3
Tennessee,TN,1971,0,0,1.3,8.3,1.3,8.3
Texas,TX,1971,0,0,1.3,8.3,1.3,8.3
U.S. Virgin Islands,None,1971,0,0,1.3,8.3,1.3,8.3
Utah,UT,1971,1,6.39,1.3,8.3,1.3,8.3
Vermont,VT,1971,1.6,10.22,1.3,8.3,1.6,10.22
Virginia,VA,1971,0,0,1.3,8.3,1.3,8.3
Washington,WA,1971,1.6,10.22,1.3,8.3,1.6,10.22
West Virginia,WV,1971,1,6.39,1.3,8.3,1.3,8.3
Wisconsin,WI,1971,1.3,8.3,1.3,8.3,1.3,8.3
Wyoming,WY,1971,1.3,8.3,1.3,8.3,1.3,8.3
Alabama,AL,1972,0,0,1.6,9.9,1.6,9.9
Alaska,AK,1972,2.1,12.99,1.6,9.9,2.1,12.99
Arizona,AZ,1972,0.468,2.9,1.6,9.9,1.6,9.9
Arkansas,AR,1972,1.2,7.43,1.6,9.9,1.6,9.9
California,CA,1972,1.65,10.21,1.6,9.9,1.65,10.21
Colorado,CO,1972,1,6.19,1.6,9.9,1.6,9.9
Connecticut,CT,1972,1.85,11.45,1.6,9.9,1.85,11.45
Delaware,DE,1972,1.6,9.9,1.6,9.9,1.6,9.9
District of Columbia,DC,1972,1.6,9.9,1.6,9.9,1.6,9.9
Florida,FL,1972,0,0,1.6,9.9,1.6,9.9
Georgia,GA,1972,1.25,7.74,1.6,9.9,1.6,9.9
Guam,None,1972,1.9,11.76,1.6,9.9,1.9,11.76
Hawaii,HI,1972,1.6,9.9,1.6,9.9,1.6,9.9
Idaho,ID,1972,1.4,8.66,1.6,9.9,1.6,9.9
Illinois,IL,1972,1.4,8.66,1.6,9.9,1.6,9.9
Indiana,IN,1972,1.25,7.74,1.6,9.9,1.6,9.9
Iowa,IA,1972,0,0,1.6,9.9,1.6,9.9
Kansas,KS,1972,0,0,1.6,9.9,1.6,9.9
Kentucky,KY,1972,0.65,4.02,1.6,9.9,1.6,9.9
Louisiana,LA,1972,0,0,1.6,9.9,1.6,9.9
Maine,ME,1972,1.4,8.66,1.6,9.9,1.6,9.9
Maryland,MD,1972,1.6,9.9,1.6,9.9,1.6,9.9
Massachusetts,MA,1972,1.75,10.83,1.6,9.9,1.75,10.83
Michigan,MI,1972,1.6,9.9,1.6,9.9,1.6,9.9
Minnesota,MN,1972,0.75,4.64,1.6,9.9,1.6,9.9
Mississippi,MS,1972,0,0,1.6,9.9,1.6,9.9
Missouri,MO,1972,0,0,1.6,9.9,1.6,9.9
Montana,MT,1972,1.6,9.9,1.6,9.9,1.6,9.9
Nebraska,NE,1972,1,6.19,1.6,9.9,1.6,9.9
Nevada,NV,1972,1.6,9.9,1.6,9.9,1.6,9.9
New Hampshire,NH,1972,1.6,9.9,1.6,9.9,1.6,9.9
New Jersey,NJ,1972,1.5,9.28,1.6,9.9,1.6,9.9
New Mexico,NM,1972,1.3,8.04,1.6,9.9,1.6,9.9
New York,NY,1972,1.85,11.45,1.6,9.9,1.85,11.45
North Carolina,NC,1972,1.45,8.97,1.6,9.9,1.6,9.9
North Dakota,ND,1972,1,6.19,1.6,9.9,1.6,9.9
Ohio,OH,1972,0.75,4.64,1.6,9.9,1.6,9.9
Oklahoma,OK,1972,1.4,8.66,1.6,9.9,1.6,9.9
Oregon,OR,1972,1.25,7.74,1.6,9.9,1.6,9.9
Pennsylvania,PA,1972,1.6,9.9,1.6,9.9,1.6,9.9
Puerto Rico,None,1972,0.65,4.02,1.6,9.9,1.6,9.9
Rhode Island,RI,1972,1.6,9.9,1.6,9.9,1.6,9.9
South Carolina,SC,1972,0,0,1.6,9.9,1.6,9.9
South Dakota,SD,1972,1,6.19,1.6,9.9,1.6,9.9
Tennessee,TN,1972,0,0,1.6,9.9,1.6,9.9
Texas,TX,1972,1.4,8.66,1.6,9.9,1.6,9.9
U.S. Virgin Islands,None,1972,0,0,1.6,9.9,1.6,9.9
Utah,UT,1972,1.2,7.43,1.6,9.9,1.6,9.9
Vermont,VT,1972,1.6,9.9,1.6,9.9,1.6,9.9
Virginia,VA,1972,0,0,1.6,9.9,1.6,9.9
Washington,WA,1972,1.6,9.9,1.6,9.9,1.6,9.9
West Virginia,WV,1972,1.2,7.43,1.6,9.9,1.6,9.9
Wisconsin,WI,1972,1.45,8.97,1.6,9.9,1.6,9.9
Wyoming,WY,1972,1.5,9.28,1.6,9.9,1.6,9.9
Alabama,AL,1973,0,0,1.6,9.32,1.6,9.32
Alaska,AK,1973,2.1,12.23,1.6,9.32,2.1,12.23
Arizona,AZ,1973,0.468,2.73,1.6,9.32,1.6,9.32
Arkansas,AR,1973,1.2,6.99,1.6,9.32,1.6,9.32
California,CA,1973,1.65,9.61,1.6,9.32,1.65,9.61
Colorado,CO,1973,1,5.83,1.6,9.32,1.6,9.32
Connecticut,CT,1973,1.85,10.78,1.6,9.32,1.85,10.78
Delaware,DE,1973,1.6,9.32,1.6,9.32,1.6,9.32
District of Columbia,DC,1973,1.6,9.32,1.6,9.32,1.6,9.32
Florida,FL,1973,0,0,1.6,9.32,1.6,9.32
Georgia,GA,1973,1.25,7.28,1.6,9.32,1.6,9.32
Guam,None,1973,1.9,11.07,1.6,9.32,1.9,11.07
Hawaii,HI,1973,1.6,9.32,1.6,9.32,1.6,9.32
Idaho,ID,1973,1.4,8.16,1.6,9.32,1.6,9.32
Illinois,IL,1973,1.4,8.16,1.6,9.32,1.6,9.32
Indiana,IN,1973,1.25,7.28,1.6,9.32,1.6,9.32
Iowa,IA,1973,0,0,1.6,9.32,1.6,9.32
Kansas,KS,1973,0,0,1.6,9.32,1.6,9.32
Kentucky,KY,1973,0.65,3.79,1.6,9.32,1.6,9.32
Louisiana,LA,1973,0,0,1.6,9.32,1.6,9.32
Maine,ME,1973,1.4,8.16,1.6,9.32,1.6,9.32
Maryland,MD,1973,1.6,9.32,1.6,9.32,1.6,9.32
Massachusetts,MA,1973,1.75,10.19,1.6,9.32,1.75,10.19
Michigan,MI,1973,1.6,9.32,1.6,9.32,1.6,9.32
Minnesota,MN,1973,0.75,4.37,1.6,9.32,1.6,9.32
Mississippi,MS,1973,0,0,1.6,9.32,1.6,9.32
Missouri,MO,1973,0,0,1.6,9.32,1.6,9.32
Montana,MT,1973,1.6,9.32,1.6,9.32,1.6,9.32
Nebraska,NE,1973,1,5.83,1.6,9.32,1.6,9.32
Nevada,NV,1973,1.6,9.32,1.6,9.32,1.6,9.32
New Hampshire,NH,1973,1.6,9.32,1.6,9.32,1.6,9.32
New Jersey,NJ,1973,1.5,8.74,1.6,9.32,1.6,9.32
New Mexico,NM,1973,1.3,7.57,1.6,9.32,1.6,9.32
New York,NY,1973,1.85,10.78,1.6,9.32,1.85,10.78
North Carolina,NC,1973,1.45,8.45,1.6,9.32,1.6,9.32
North Dakota,ND,1973,1,5.83,1.6,9.32,1.6,9.32
Ohio,OH,1973,0.75,4.37,1.6,9.32,1.6,9.32
Oklahoma,OK,1973,1.4,8.16,1.6,9.32,1.6,9.32
Oregon,OR,1973,1.25,7.28,1.6,9.32,1.6,9.32
Pennsylvania,PA,1973,1.6,9.32,1.6,9.32,1.6,9.32
Puerto Rico,None,1973,0.65,3.79,1.6,9.32,1.6,9.32
Rhode Island,RI,1973,1.6,9.32,1.6,9.32,1.6,9.32
South Carolina,SC,1973,0,0,1.6,9.32,1.6,9.32
South Dakota,SD,1973,1,5.83,1.6,9.32,1.6,9.32
Tennessee,TN,1973,0,0,1.6,9.32,1.6,9.32
Texas,TX,1973,1.4,8.16,1.6,9.32,1.6,9.32
U.S. Virgin Islands,None,1973,0,0,1.6,9.32,1.6,9.32
Utah,UT,1973,1.2,6.99,1.6,9.32,1.6,9.32
Vermont,VT,1973,1.6,9.32,1.6,9.32,1.6,9.32
Virginia,VA,1973,0,0,1.6,9.32,1.6,9.32
Washington,WA,1973,1.6,9.32,1.6,9.32,1.6,9.32
West Virginia,WV,1973,1.2,6.99,1.6,9.32,1.6,9.32
Wisconsin,WI,1973,1.45,8.45,1.6,9.32,1.6,9.32
Wyoming,WY,1973,1.5,8.74,1.6,9.32,1.6,9.32
Alabama,AL,1974,0,0,1.6,8.39,1.6,8.39
Alaska,AK,1974,2.1,11.02,1.6,8.39,2.1,11.02
Arizona,AZ,1974,0.468,2.46,1.6,8.39,1.6,8.39
Arkansas,AR,1974,1.2,6.3,1.6,8.39,1.6,8.39
California,CA,1974,1.65,8.66,1.6,8.39,1.65,8.66
Colorado,CO,1974,1,5.25,1.6,8.39,1.6,8.39
Connecticut,CT,1974,1.85,9.71,1.6,8.39,1.85,9.71
Delaware,DE,1974,1.6,8.39,1.6,8.39,1.6,8.39
District of Columbia,DC,1974,1.6,8.39,1.6,8.39,1.6,8.39
Florida,FL,1974,0,0,1.6,8.39,1.6,8.39
Georgia,GA,1974,1.25,6.56,1.6,8.39,1.6,8.39
Guam,None,1974,1.9,9.97,1.6,8.39,1.9,9.97
Hawaii,HI,1974,1.6,8.39,1.6,8.39,1.6,8.39
Idaho,ID,1974,1.4,7.35,1.6,8.39,1.6,8.39
Illinois,IL,1974,1.4,7.35,1.6,8.39,1.6,8.39
Indiana,IN,1974,1.25,6.56,1.6,8.39,1.6,8.39
Iowa,IA,1974,0,0,1.6,8.39,1.6,8.39
Kansas,KS,1974,0,0,1.6,8.39,1.6,8.39
Kentucky,KY,1974,0.65,3.41,1.6,8.39,1.6,8.39
Louisiana,LA,1974,0,0,1.6,8.39,1.6,8.39
Maine,ME,1974,1.4,7.35,1.6,8.39,1.6,8.39
Maryland,MD,1974,1.6,8.39,1.6,8.39,1.6,8.39
Massachusetts,MA,1974,1.75,9.18,1.6,8.39,1.75,9.18
Michigan,MI,1974,1.6,8.39,1.6,8.39,1.6,8.39
Minnesota,MN,1974,0.75,3.93,1.6,8.39,1.6,8.39
Mississippi,MS,1974,0,0,1.6,8.39,1.6,8.39
Missouri,MO,1974,0,0,1.6,8.39,1.6,8.39
Montana,MT,1974,1.6,8.39,1.6,8.39,1.6,8.39
Nebraska,NE,1974,1,5.25,1.6,8.39,1.6,8.39
Nevada,NV,1974,1.6,8.39,1.6,8.39,1.6,8.39
New Hampshire,NH,1974,1.6,8.39,1.6,8.39,1.6,8.39
New Jersey,NJ,1974,1.5,7.87,1.6,8.39,1.6,8.39
New Mexico,NM,1974,1.3,6.82,1.6,8.39,1.6,8.39
New York,NY,1974,1.85,9.71,1.6,8.39,1.85,9.71
North Carolina,NC,1974,1.45,7.61,1.6,8.39,1.6,8.39
North Dakota,ND,1974,1,5.25,1.6,8.39,1.6,8.39
Ohio,OH,1974,0.75,3.93,1.6,8.39,1.6,8.39
Oklahoma,OK,1974,1.4,7.35,1.6,8.39,1.6,8.39
Oregon,OR,1974,1.25,6.56,1.6,8.39,1.6,8.39
Pennsylvania,PA,1974,1.6,8.39,1.6,8.39,1.6,8.39
Puerto Rico,None,1974,0.65,3.41,1.6,8.39,1.6,8.39
Rhode Island,RI,1974,1.6,8.39,1.6,8.39,1.6,8.39
South Carolina,SC,1974,0,0,1.6,8.39,1.6,8.39
South Dakota,SD,1974,1,5.25,1.6,8.39,1.6,8.39
Tennessee,TN,1974,0,0,1.6,8.39,1.6,8.39
Texas,TX,1974,1.4,7.35,1.6,8.39,1.6,8.39
U.S. Virgin Islands,None,1974,0,0,1.6,8.39,1.6,8.39
Utah,UT,1974,1.2,6.3,1.6,8.39,1.6,8.39
Vermont,VT,1974,1.6,8.39,1.6,8.39,1.6,8.39
Virginia,VA,1974,0,0,1.6,8.39,1.6,8.39
Washington,WA,1974,1.6,8.39,1.6,8.39,1.6,8.39
West Virginia,WV,1974,1.2,6.3,1.6,8.39,1.6,8.39
Wisconsin,WI,1974,1.45,7.61,1.6,8.39,1.6,8.39
Wyoming,WY,1974,1.5,7.87,1.6,8.39,1.6,8.39
Alabama,AL,1975,0,0,1.6,7.69,1.6,7.69
Alaska,AK,1975,2.1,10.1,1.6,7.69,2.1,10.1
Arizona,AZ,1975,0.468,2.25,1.6,7.69,1.6,7.69
Arkansas,AR,1975,1.2,5.77,1.6,7.69,1.6,7.69
California,CA,1975,1.65,7.93,1.6,7.69,1.65,7.93
Colorado,CO,1975,1,4.81,1.6,7.69,1.6,7.69
Connecticut,CT,1975,1.85,8.89,1.6,7.69,1.85,8.89
Delaware,DE,1975,1.6,7.69,1.6,7.69,1.6,7.69
District of Columbia,DC,1975,1.6,7.69,1.6,7.69,1.6,7.69
Florida,FL,1975,0,0,1.6,7.69,1.6,7.69
Georgia,GA,1975,1.25,6.01,1.6,7.69,1.6,7.69
Guam,None,1975,1.9,9.13,1.6,7.69,1.9,9.13
Hawaii,HI,1975,1.6,7.69,1.6,7.69,1.6,7.69
Idaho,ID,1975,1.4,6.73,1.6,7.69,1.6,7.69
Illinois,IL,1975,1.4,6.73,1.6,7.69,1.6,7.69
Indiana,IN,1975,1.25,6.01,1.6,7.69,1.6,7.69
Iowa,IA,1975,0,0,1.6,7.69,1.6,7.69
Kansas,KS,1975,0,0,1.6,7.69,1.6,7.69
Kentucky,KY,1975,0.65,3.13,1.6,7.69,1.6,7.69
Louisiana,LA,1975,0,0,1.6,7.69,1.6,7.69
Maine,ME,1975,1.4,6.73,1.6,7.69,1.6,7.69
Maryland,MD,1975,1.6,7.69,1.6,7.69,1.6,7.69
Massachusetts,MA,1975,1.75,8.41,1.6,7.69,1.75,8.41
Michigan,MI,1975,1.6,7.69,1.6,7.69,1.6,7.69
Minnesota,MN,1975,0.75,3.61,1.6,7.69,1.6,7.69
Mississippi,MS,1975,0,0,1.6,7.69,1.6,7.69
Missouri,MO,1975,0,0,1.6,7.69,1.6,7.69
